,suicide_country,suicide_year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),Generation,WHR2018Chapter2OnlineData_country,WHR2018Chapter2OnlineData_year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate).1
41,Argentina,2006,female,15-24 years,175,3271703,5.35,2.33E+11,6475,Millenials,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
42,Argentina,2006,female,55-74 years,115,2983954,3.85,2.33E+11,6475,Silent,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
43,Argentina,2006,female,35-54 years,160,4549471,3.52,2.33E+11,6475,Boomers,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
44,Argentina,2006,female,25-34 years,105,3070419,3.42,2.33E+11,6475,Generation X,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
45,Argentina,2006,female,75+ years,31,1132977,2.74,2.33E+11,6475,Silent,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
46,Argentina,2006,male,5-14 years,39,3527369,1.11,2.33E+11,6475,Millenials,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
47,Argentina,2006,female,5-14 years,26,3412126,0.76,2.33E+11,6475,Millenials,Argentina,2006,6.3129253389999995,9.716691971,0.9384627940000001,65.98742676,0.7330036759999999,-0.156323865,0.8517994879999999,0.824682415,0.328230023,0.517504096,0.20324610199999998,-0.399083436,1.97683239,0.313140482,0.47606666700000005
48,Argentina,2007,male,75+ years,225,634995,35.43,2.88E+11,7918,Silent,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
49,Argentina,2007,male,15-24 years,577,3381171,17.07,2.88E+11,7918,Millenials,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
50,Argentina,2007,male,55-74 years,438,2582754,16.96,2.88E+11,7918,Silent,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
51,Argentina,2007,male,25-34 years,490,3125322,15.68,2.88E+11,7918,Generation X,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
52,Argentina,2007,male,35-54 years,571,4436541,12.87,2.88E+11,7918,Boomers,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
53,Argentina,2007,female,15-24 years,146,3292790,4.43,2.88E+11,7918,Millenials,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
54,Argentina,2007,female,25-34 years,126,3120162,4.04,2.88E+11,7918,Generation X,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
55,Argentina,2007,female,55-74 years,108,3033008,3.56,2.88E+11,7918,Silent,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
56,Argentina,2007,female,35-54 years,155,4601874,3.37,2.88E+11,7918,Boomers,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
57,Argentina,2007,female,75+ years,31,1161794,2.67,2.88E+11,7918,Silent,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
58,Argentina,2007,male,5-14 years,45,3530454,1.27,2.88E+11,7918,Generation Z,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
59,Argentina,2007,female,5-14 years,34,3414627,1.0,2.88E+11,7918,Generation Z,Argentina,2007,6.073158264,9.792595862999999,0.862205565,66.1286087,0.652832627,-0.140862063,0.8810577390000001,0.8279197220000001,0.279007971,0.405823737,0.27373993399999996,-0.404017568,2.03910327,0.33575666,0.47606666700000005
60,Argentina,2008,male,75+ years,208,646185,32.19,3.62E+11,9843,Silent,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
61,Argentina,2008,male,15-24 years,625,3410092,18.33,3.62E+11,9843,Millenials,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
62,Argentina,2008,male,55-74 years,463,2630686,17.6,3.62E+11,9843,Silent,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
63,Argentina,2008,male,25-34 years,531,3172743,16.74,3.62E+11,9843,Generation X,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
64,Argentina,2008,male,35-54 years,582,4496672,12.94,3.62E+11,9843,Boomers,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
65,Argentina,2008,female,15-24 years,180,3319037,5.42,3.62E+11,9843,Millenials,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
66,Argentina,2008,female,35-54 years,173,4660022,3.71,3.62E+11,9843,Boomers,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
67,Argentina,2008,female,55-74 years,108,3088727,3.5,3.62E+11,9843,Silent,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
68,Argentina,2008,female,75+ years,36,1188016,3.03,3.62E+11,9843,Silent,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
69,Argentina,2008,female,25-34 years,94,3159967,2.97,3.62E+11,9843,Generation X,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
70,Argentina,2008,male,5-14 years,39,3539110,1.1,3.62E+11,9843,Generation Z,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
71,Argentina,2008,female,5-14 years,20,3422263,0.58,3.62E+11,9843,Generation Z,Argentina,2008,5.9610342979999995,9.822107315,0.89219451,66.26942444,0.678222179,-0.131773502,0.864996254,0.8234085440000001,0.31822228399999997,0.286370575,0.136836872,-0.49912923600000003,2.146841764,0.360145837,0.47606666700000005
72,Argentina,2009,male,75+ years,177,653486,27.09,3.33E+11,8961,Silent,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
73,Argentina,2009,male,15-24 years,609,3436265,17.72,3.33E+11,8961,Millenials,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
74,Argentina,2009,male,55-74 years,434,2683502,16.17,3.33E+11,8961,Silent,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
75,Argentina,2009,male,25-34 years,504,3210244,15.7,3.33E+11,8961,Generation X,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
76,Argentina,2009,male,35-54 years,542,4566645,11.87,3.33E+11,8961,Boomers,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
77,Argentina,2009,female,15-24 years,164,3342385,4.91,3.33E+11,8961,Millenials,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
78,Argentina,2009,female,55-74 years,112,3148915,3.56,3.33E+11,8961,Silent,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
79,Argentina,2009,female,25-34 years,105,3189773,3.29,3.33E+11,8961,Generation X,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
80,Argentina,2009,female,35-54 years,150,4726814,3.17,3.33E+11,8961,Boomers,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
81,Argentina,2009,female,75+ years,25,1211934,2.06,3.33E+11,8961,Silent,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
82,Argentina,2009,male,5-14 years,34,3553154,0.96,3.33E+11,8961,Generation Z,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
83,Argentina,2009,female,5-14 years,28,3434884,0.82,3.33E+11,8961,Generation Z,Argentina,2009,6.424133301,9.750824928,0.918693185,66.41030884,0.63664645,-0.129522815,0.8847421999999998,0.863785565,0.236901477,0.273821533,0.023820966000000002,-0.5709435939999999,2.0677416319999997,0.32187092300000003,0.47606666700000005
84,Argentina,2010,male,75+ years,206,657096,31.35,4.24E+11,11273,Silent,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
85,Argentina,2010,male,15-24 years,683,3455127,19.77,4.24E+11,11273,Millenials,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
86,Argentina,2010,male,25-34 years,485,3237957,14.98,4.24E+11,11273,Generation X,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
87,Argentina,2010,male,55-74 years,397,2740656,14.49,4.24E+11,11273,Silent,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
88,Argentina,2010,male,35-54 years,573,4648068,12.33,4.24E+11,11273,Generation X,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
89,Argentina,2010,female,15-24 years,150,3358103,4.47,4.24E+11,11273,Millenials,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
90,Argentina,2010,female,35-54 years,162,4804030,3.37,4.24E+11,11273,Generation X,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
91,Argentina,2010,female,25-34 years,101,3210247,3.15,4.24E+11,11273,Generation X,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
92,Argentina,2010,female,55-74 years,99,3212253,3.08,4.24E+11,11273,Silent,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
93,Argentina,2010,female,75+ years,34,1234182,2.75,4.24E+11,11273,Silent,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
94,Argentina,2010,male,5-14 years,33,3570316,0.92,4.24E+11,11273,Generation Z,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
95,Argentina,2010,female,5-14 years,20,3450419,0.58,4.24E+11,11273,Generation Z,Argentina,2010,6.441067219,9.836923599,0.926798582,66.55217743,0.730258167,-0.12579195199999998,0.8546954390000001,0.846135557,0.210975498,0.35185614200000004,0.138445795,-0.469284207,2.1078383919999997,0.327249855,0.47606666700000005
96,Argentina,2011,male,75+ years,178,674738,26.38,5.30E+11,13946,Silent,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
97,Argentina,2011,male,15-24 years,693,3471151,19.96,5.30E+11,13946,Millenials,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
98,Argentina,2011,male,25-34 years,510,3258804,15.65,5.30E+11,13946,Millenials,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
99,Argentina,2011,male,55-74 years,416,2788575,14.92,5.30E+11,13946,Boomers,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
100,Argentina,2011,male,35-54 years,504,4738525,10.64,5.30E+11,13946,Generation X,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
101,Argentina,2011,female,15-24 years,172,3372659,5.1,5.30E+11,13946,Millenials,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
102,Argentina,2011,female,35-54 years,157,4893085,3.21,5.30E+11,13946,Generation X,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
103,Argentina,2011,female,25-34 years,102,3224774,3.16,5.30E+11,13946,Millenials,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
104,Argentina,2011,female,55-74 years,93,3268753,2.85,5.30E+11,13946,Boomers,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
105,Argentina,2011,female,75+ years,30,1260121,2.38,5.30E+11,13946,Silent,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
106,Argentina,2011,female,5-14 years,29,3472180,0.84,5.30E+11,13946,Generation Z,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
107,Argentina,2011,male,5-14 years,28,3592374,0.78,5.30E+11,13946,Generation Z,Argentina,2011,6.775805472999999,9.884780884,0.889073491,66.69458771,0.815802038,-0.17447167600000002,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.47606666700000005
108,Argentina,2012,male,75+ years,225,688560,32.68,5.46E+11,14203,Silent,Argentina,2012,6.468387127000001,9.863960266,0.901776373,66.83669281,0.747498393,-0.148022771,0.816546202,0.8565163020000001,0.272219121,0.41825547799999996,0.19912523,-0.572653413,2.098196507,0.32437709,0.47606666700000005
